사골우거지국,쌀밥,메밀전병,천사채겨자냉채,깍두기
참치마요덮밥,유부장국,깐풍기,요구르트,단무지
유부우동,쌀밥,치킨너겟&머스타드,자두쥬스,단무지
쇠고기된장찌개,쌀밥,미트볼조림,명엽채볶음,배추김치
얼큰당면찌개,쌀밥,야채크로켓&케찹,어묵야채볶음,깍두기
